,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
10,Tata Motors,4.1,(8.8k),Public,Pune + 341 more,75 years old,10000+ employees,"Automobile, Manufacturing, MNC, Fortune500, Forbes Global 2000, Public, Pune","Tata Motors Limited, a USD 45 billion organisation, is a leading automobile manufacturer with a portfolio that includes a wide range of cars, utility vehicles, trucks, buses and defence vehicles. Our marque can be found on and off-road in over 175 countries around the globe.

Our focus on connecting aspirations and our pipeline of tech-enabled products keeps us at the forefront of the market. We have identified six key mobility drivers that will lead us into the future – modular architecture, complexity reduction in manufacturing, connected & autonomous vehicles, clean drivelines, shared mobility, and low total cost of ownership. Our sub-brand TAMO is an incubating centre of innovation that will spark new mobility solutions through new technologies, business models and partnerships."
11,IBM,4.1,(8.7k),Public,New York + 74 more,109 years old,,"Consulting, Financial Services, Analytics / BPM / Research, IT Services & Consulting, Industrial Automation, MNC, Forbes Global 2000, Public","At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. To lead in this new era of technology and solve some of the world's most challenging problems.
 
IBM is a leading cloud platform and cognitive solutions company. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 350,000 employees serving clients in 170 countries. With Watson, the AI platform for business, powered by data, we are building industry-based solutions to real-world problems. For more than seven decades, IBM Research has defined the future of information technology with more than 3,000 researchers in 12 labs located across six continents."
12,Axis Bank,4.0,(8.7k),Public,Mumbai + 674 more,27 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, MNC, Fortune500, Forbes Global 2000, Public, Mumbai","Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses.

The Bank has a large footprint of 4,050 domestic branches (including extension counters) with 11,801 ATMs & 4,917 cash recyclers spread across the country as on 31st March, 2019. The overseas operations of the Bank are spread over nine international offices with branches at Singapore, Hong Kong, Dubai (at the DIFC), Colombo and Shanghai; representative offices at Dhaka, Dubai, Abu Dhabi and an overseas subsidiary at London, UK. The international offices focus on corporate lending, trade finance, syndication, investment banking and liability businesses."
13,Genpact,4.0,(8.7k),Private,New York + 32 more,23 years old,10000+ employees,"Consulting, IT / ITES, MNC","Genpact (NYSE: G) is a global professional services firm that makes business transformation real. We drive digital-led innovation and digitally-enabled intelligent operations for our clients, guided by our experience running thousands of processes primarily for Global Fortune 500 companies. We think with design, dream in digital, and solve problems with data and analytics. Combining our expertise in end-to-end operations and our AI-based platform, Genpact Cora, we focus on the details – all 87,000+ of us. From New York to New Delhi and more than 25 countries in between, we connect every dot, reimagine every process, and reinvent companies’ ways of working. We know that reimagining each step from start to finish will create better business outcomes. Whatever it is, we’ll be there with you – accelerating digital transformation to create bold, lasting results – because transformation happens here.

Genpact began in 1997 as a business unit within General Electric. In January 2005, Genpact became an independent company to bring our process expertise and unique DNA in Lean management to clients beyond GE, and then in August 2007, we became a publicly-traded company. Bain Capital became Genpact’s largest shareholder in November 2012, with the strategic objective to grow the company further. Since December 31, 2005, we have expanded from 19,000+ employees and annual revenues of US$491.90 million to 87,000+ employees and annual revenues of US$3.00 billion as of December 31, 2018."
14,Reliance jio,4.0,(8.6k),Public,Navi Mumbai + 601 more,10 years old,10000+ employees,"Telecom / ISP, MNC, Public, Navi Mumbai","Make a new start. A start that will build beautiful relationships, shape millions of ideas. Enable a new way to live, learn, work and play.

At Jio, we build products and services of the future to empower billions of Indians make their dreams a reality.

Jio is about YOU. Join the movement to make India Digital."
15,Wipro,3.8,(7.8k),Public,Bangalore + 125 more,75 years old,10000+ employees,"Consulting, IT / ITES, MNC, Conglomerate, Fortune500, Forbes Global 2000, Public","Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting and business process services company. We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics and emerging technologies to help our clients adapt to the digital world and make them successful. A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability and good corporate citizenship, we have over 160,000 dedicated employees serving clients across six continents. Together, we discover ideas and connect the dots to build a better and a bold new future."
16,Concentrix Corpora...,4.0,(7.5k),Public,Fremont + 38 more,37 years old,10000+ employees,"BPO/KPO, Public","Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations.

It’s all about tapping into sentiment and building an emotional connection that keeps customers and staff fanatical about your brand. That’s where we come in—we create exceptional customer engagement, accelerate digital transformation, and deliver actionable CX insights.

We help you reimagine your business—and get you there faster than you ever thought possible."
17,HDB Financial Serv...,4.0,(6.7k),Private,Ahmedabad + 474 more,13 years old,10000+ employees,"Financial Services, Ahmedabad","HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual & Business Clients.

Incorporated in 2007, we are a well-established business with strong capitalization. HDBFS is accredited with CARE AAA & CRISIL AAA ratings for its long-term debt & Bank facilities and an A1+ rating for its short-term debt & commercial papers, making it a strong and reliable financial institution.

HDBFS maintains a strong commitment to ethical conduct. Transparency is ingrained in the structure of our Code of Ethics and our compliance policies to ensure that the highest standards of professional conduct are consistently reinforced and embedded in every corner of the organisation."
18,Amazon,4.1,(6k),Private,Washington + 175 more,26 years old,10000+ employees,"Consumer goods, Internet, Retail, MNC, Forbes Global 2000","Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one.

Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world."
19,Kotak Mahindra Ban...,3.8,(5.9k),Public,"Mumbai,Maharashtra + 356 more",17 years old,,"Banking / Insurance / Accounting, Financial Services, Banking, Conglomerate, Fortune500, Forbes Global 2000, Public","In February 2003, Kotak Mahindra Finance Ltd. (KMFL), the Group's flagship company, received banking license from the Reserve Bank of India (RBI), becoming the first non-banking finance company in India to convert into a bank - Kotak Mahindra Bank Ltd.
Effective April 1, 2015, ING Vysya Bank Ltd. merged with Kotak Mahindra Bank Ltd. 
The Bank has four Strategic Business Units – Consumer Banking, Corporate Banking, Commercial Banking and Treasury, which cater to retail and corporate customers across urban and rural India.

The Group offers a wide range of financial services that encompass every sphere of life. From commercial banking, to stock broking, mutual funds, life insurance and investment banking, the Group caters to the diverse financial needs of individuals and the corporate sector. The Group has a wide distribution network through branches and franchisees across India, and international offices in London, New York, California, Dubai, Abu Dhabi, Bahrain, Mauritius and Singapore."
20,Bharti Airtel,4.2,(5.8k),Public,New Delhi + 344 more,25 years old,10000+ employees,"Telecom / ISP, Fortune500, Forbes Global 2000, Public, New Delhi","Bharti Airtel is a leading alternative provider of telecommunications services in India and among the top ten global carriers offering services in about 20 other countries, particularly in Africa. Through subsidiaries, the company operates three business units: Telemedia Services (broadband and telephone), Enterprise Services, and Mobile Services. The Enterprise Services group aids both long-distance carriers and corporate clients. Bharti Airtel has more than 220 million mainly mobile subscribers. It provides digital television service for 5 million in India. The company is a unit of Bharti Enterprises, a conglomerate with interests in financial services, food, and retail, besides telecom."
21,Vodafone,4.2,(5.8k),Public,Berkshire + 357 more,38 years old,10000+ employees,"Telecom / ISP, MNC, Fortune500, Forbes Global 2000, Public","Vodafone is a leader in technology communications through mobile, fixed, broadband and TV.
We have extensive experience in connectivity, convergence and the Internet of Things, as well as championing mobile financial services and digital transformation in emerging markets.

Since making the first mobile call in the UK on 1 January 1985, Vodafone has grown into an international business and one of the most valuable brands in the world. We have mobile operations in 24 countries, partner with mobile networks in 42 more, and provide fixed broadband in 19 markets.

As of 30 September 2019, Vodafone Group had approximately 625 million mobile customers, 27 million fixed broadband customers and 22 million TV customers, including all of the customers in Vodafone’s joint ventures and associates.

We’re working hard to build a digital future that works for everyone"
22,Reliance,4.2,(5k),Public,Mumbai + 230 more,54 years old,10000+ employees,"Oil / Gas / Petro Chemicals, Power, MNC, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai","Reliance Industries Limited is a Fortune 500 company and the largest private sector corporation in India.

Our motto “Growth is Life” aptly captures the ever-evolving spirit of Reliance. We have evolved from being a textiles and polyester company to an integrated player across energy, materials, retail, entertainment and digital services. In each of these areas, we are committed to innovation-led, exponential growth. Our vision has pushed us to achieve global leadership in many of our businesses.

Reliance's products and services portfolio touches almost all Indians on a daily basis, across economic and social spectrums. We are now focussed on building platforms that will herald the Fourth Industrial Revolution and will create opportunities and avenues for India and all its citizens to realise their true potential."
23,Bajaj Finserv,4.1,(4.2k),Public,Pune + 480 more,13 years old,10000+ employees,"Financial Services, Fortune500, Forbes Global 2000, Public, Pune","Bajaj Finserv was formed in April 2007 as a result of its demerger from Bajaj Auto Limited to further the Group’s interests in financial services. This demerger enabled Bajaj Finserv to independently run the core businesses of Lending, Protection and savings. Bajaj Finserv Limited is the holding company for the businesses dealing with financial services of the Bajaj Group. It serves millions of customers in the financial services space by providing solutions for asset acquisition through financing, asset protection through general insurance, family protection and income protection in the form of life and health insurance and retirement and savings solutions"
24,IndusInd Bank,3.6,(4.1k),Public,Mumbai + 367 more,26 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Fortune500, Forbes Global 2000, Public, Mumbai","IndusInd Bank is a Mumbai based scheduled private bank founded in Mumbai in April 1994. This bank offers a wide range of banking as well as financial products and services to the customers and is headquartered in Mumbai, Maharashtra. The bank has over 745 branches with a total network of over 1635 operating ATMs. It has two representative offices outside India in London and Dubai respectively.
IndusInd Bank stands tall today as one of the reputed banking brands in the country. The bank has been continuously investing in various advertising & marketing programs to enhance the brand image & recall. In an endeavor to emerge as best-in-class brand, IndusInd Bank has made 'Responsive Innovation' as a central theme of its brand building program. The Bank has combined responsiveness with innovation to launch a wide range of banking products and services which are unique, convenient and very relevant to Indian consumer."
25,Teleperformance,3.6,(4.1k),Private,Paris + 47 more,42 years old,10000+ employees,"BPO/KPO, IT / ITES, MNC, Forbes Global 2000","Teleperformance is the agile business services partner that companies need in this digital world.
For over 40 years, Teleperformance has been connecting customers with the world’s most successful companies. It is the global leader in customer experience outsourcing management and the trusted provider of digitally integrated business services.
At Teleperformance, we combine human touch and high technology to deliver extraordinary customer experiences. While technology creates new and agile ways of working, our interaction experts remain committed to creating unique connections through empathy, adaptive communication skills, and more importantly, a passion to make it happen."
26,Indian Army,4.7,(4k),Govt agency,New Delhi + 211 more,125 years old,10000+ employees,"Defence & Aerospace, Federal Agencies, Government, New Delhi","The principal task of the Ministry is to frame policy directions on defence and security related matters and communicate them for implementation to the Services Headquarters, Inter-Service Organisations, Production Establishments and Research & Development Organisations. It is required to ensure effective implementation of the Government's policy directions and the execution of approved programmes within the allocated resources."
27,Hinduja Global Sol...,3.8,(3.9k),Public,Bangalore + 52 more,20 years old,10000+ employees,"BPO/KPO, MNC, Fortune500, Public","A global leader in business process management (BPM) and optimizing the customer experience lifecycle, HGS is helping make its clients more competitive every day. HGS combines technology-powered services in automation, analytics, and digital with domain expertise focusing on back-office processing, contact centers, and HRO solutions to deliver transformational impact to clients. HGS takes a true “globally local” approach, with our employees making a difference to some of the world’s leading brands across nine key verticals.

HGS expertise spans the telecommunications and media, healthcare, insurance, banking, consumer electronics and technology, retail, and consumer packaged goods industries, as well as the public sector. HGS operates on a global landscape with around 37000 employees in 61 worldwide locations delivering localized solutions. For the year ended 31st March 2020, HGS had revenues of US$ 737 million. HGS, part of the multi-billion dollar Hinduja Group, has more than four decades of experience working with some of the world’s most recognized brands."
28,Mahindra & Mahindr...,4.2,(3.8k),Public,Mumbai + 268 more,75 years old,10000+ employees,"Automobile, Industrial Equipment / Machinery, Manufacturing, MNC, Fortune500, Forbes Global 2000, Public, Mumbai","Mahindra & Mahindra Limited is an Indian multinational car manufacturing corporation headquartered in Mumbai, Maharashtra, India.  It is one of the largest vehicle manufacturers by production in India and the largest manufacturer of tractors in the world.

Established in 1947, our core automotive business has grown to become India’s No.1 Utility Vehicle maker. But we’re not content to stop there. With a portfolio that extends from pick-ups to SUVs to LCVs & HCVs, we’re committed to making “Mahindra” synonymous with world-class automobiles and we’re building an innovation ecosystem that spans USA, Europe, India and S.Korea. Whether it’s our commitment to the Future of Mobility, social responsibility, or creating customer delight - you’ll find that our vehicles today are as global as the customers we serve."
29,Maruti Suzuki,4.2,(3.4k),Public,"New Delhi,Delhi + 277 more",37 years old,,"Automobile, Manufacturing, Fortune500, Public","Cars are what Maruti Suzuki builds. Experiences are what it creates.

Experiences fuelled by innovations, forward thinking, and a commitment to bring the very best to Indian roads. From the day the iconic Maruti 800 was launched in 1983, the company has been spearheading a revolution of change. Turning an entire country’s need for driving, into its love for driving.
However, tastes and demands keep on evolving with each new generation of Indians. This has not been looked at by Maruti Suzuki as a challenge, but as an inspiration to go beyond traditional boundaries of car-making. Infusing design and technology is one such step it has taken to make its cars meet new age expectations smoothly. Today, Maruti Suzuki has its eyes set firmly on the possibilities of tomorrow. And everybody is invited on this journey."
30,Ericsson,4.1,(3.3k),Private,Stockholm + 112 more,144 years old,10000+ employees,"Analytics / BPM / Research, MNC, Forbes Global 2000","Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world."
31,WNS,3.7,(3.2k),Private,Mumbai + 14 more,24 years old,10000+ employees,"BPO/KPO, MNC, Mumbai","WNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co-create innovative, digital-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re-imagine their digital future and transform their outcomes with operational excellence.
We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co-create and execute the future vision of 350+ clients with the help of our 41,000+ employees. Our global footprint spans 16 countries with 60 delivery centers worldwide including in China, Costa Rica, India, the Philippines, Poland, Romania, South Africa, Spain, Sri Lanka, Turkey, United Kingdom and the United States."
32,Reliance Retail,4.2,(3.2k),Private,Mumbai + 251 more,14 years old,10000+ employees,"Retail, Textile & Apparel, Mumbai","Reliance Retail is the retail initiative of the group and is central to our consumer-facing businesses. It has in a short time forged strong and enduring bonds with millions of consumers by providing them an unlimited choice, outstanding value proposition, superior quality and unmatched experience across all its stores. Reliance Retail has adopted a multi-prong strategy and operates a chain of neighborhood stores, supermarkets, wholesale cash & carry stores, specialty stores, and online stores and has democratized access to a variety of products and services across diverse segments for Indian consumers. Serving the food and grocery category Reliance Retail operates Reliance Fresh, Reliance Smart and Reliance Market stores. In the consumer electronics category Reliance Retail operates Reliance Digital, Reliance Digital Express Mini stores, and Jio stores, and in fashion & lifestyle category it operates Reliance Trends, Trends Women, Trends Man, Trends junior, Project Eve, Reliance Footprint, Reliance Jewels and AJIO.com in addition to a large number of partner brand stores across the country.Reliance Retail has the distinction of being the largest retailer in the country. Reliance Retail’s commitment to “bettering the lives” has been embodied in its pursuit to make a difference in social socio-economic issues in India. The initiative has brought millions of farmers and small producers to the forefront of the retail revolution by partnering with them for growth. Deep insight into India’s economic, cultural and consumption diversity drives Reliance Retail’s vision in the retail universe. The operating model is based on customer-centricity while leveraging common centers of excellence in technology, business processes, and supply chain. More importantly, it has built a strong and unwavering foundation through its extraordinary people. Our nationwide network of retail stores offers a world-class shopping environment and unmatched customer experience.Reliance Retail has emerged as the partner of choice for International brands and has established exclusive partnerships with many revered international brands such as Diesel, Superdry, Hamleys, Ermenegildo Zegna, Marks and Spencer, Paul & Shark, Thomas Pink, Kenneth Cole, Brooks Brothers, Steve Madden, Payless Shoesource, Grand Vision and many more.Reliance Retail reported a turnover of Rs. 1,30,566 crore for the financial year 2018-19. As on 30th Sep 2019, Reliance Retail operates 10,901 stores across 6,700+ cities with a retail area of over 24.5 million sft.Reliance Retail Ventures Limited, a subsidiary of Reliance Industries Limited is the holding company of Reliance Retail Limited which operates the retail business."
33,Startek,3.6,(3.1k),Private,Greenwood Village + 37 more,33 years old,10000+ employees,"BPO/KPO, Consulting, IT / ITES, MNC","For more than 25 years we’ve held an organization-wide conviction, that it’s our job to be the front line promoting and protecting your brand. Some of the world’s most prominent industry leaders, from telecommunication giants to technology power houses entrust STARTEK to uphold their reputations and to safe-guard their hard-won customers.

We work around the clock, around the world, and with great determination to ensure every customer interaction is one that authentically matters. It’s on this front line, in the moments of direct, person-to-person engagement, where the battle for customer loyalty lives or dies, and why we take our responsibility so seriously.

Every one of our centers has a program dedicated to improving and supporting the communities they are a part of through direct involvement and volunteerism. While we know paying it forward feels great, it also just makes good business sense. We’ve seen first hand what third party studies reinforce all the time — that engaged employees who have a sense of belonging, also have less absenteeism, lower turnover and are more profitable.

In addition to taking care of the communities our sites are in, STARTEK prides itself in taking care of one another during times of hardship as well. In 2014, STARTEK launched WIN (Warriors In Need), a foundation intended to provide basic necessities and temporary relief to any STARTEK employee as result of disaster or extraordinary life events.

The program was conceived by employees, for employees, and is primarily funded by STARTEK employee contributions to help one another in times of great need. The program is in its infancy, but has already proven to be an essential resource for facing a critical crisis."
34,IDEA Cellular,4.3,(3.1k),Partnership,Mumbai + 281 more,25 years old,10000+ employees,"Telecom / ISP, Mumbai","Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India’s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and 4G platform. With the large spectrum portfolio to support the growing demand for data and voice, the company is committed to deliver delightful customer experiences and contribute towards creating a truly ‘Digital India’ by enabling millions of citizens to connect and build a better tomorrow. The Company is developing infrastructure to introduce newer and smarter technologies, making both retail and enterprise customers future ready with innovative offerings, conveniently accessible through an ecosystem of digital channels as well as extensive on-ground presence. The Company is listed on National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India.."
35,Deloitte,3.9,(3.1k),Private,New York + 44 more,175 years old,,"Consulting, Accounting / Auditing, Management Consulting, MNC","Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients."
36,Infosys BPM,4.1,(3.1k),,Bengaluru + 19 more,18 years old,10000+ employees,"BPO/KPO, Bengaluru","Infosys BPM, the business process management subsidiary of Infosys (NYSE: INFY), provides end-to-end transformative services for its clients across the globe. The company’s integrated IT and BPM solutions approach enables it to unlock business value across industries and service lines, and address business challenges for its clients. Utilizing innovative business excellence frameworks, ongoing productivity improvements, process reengineering, automation, and cutting-edge technology platforms, Infosys BPM enables its clients to achieve their cost reduction objectives, improve process efficiencies, enhance effectiveness, and deliver superior customer experience.

Infosys BPM has 32 delivery centers in 16 countries spread across 5 continents, with 43,111 employees from 100+ nationalities, as of December, 2019.

The company has been consistently ranked among the leading BPM companies globally and has received over 60 awards and recognitions in the last 5 years, from key industry bodies and associations like the Outsourcing Center, SSON, and GSA, among others. Infosys BPM also has very robust people practices, as substantiated by the various HR-specific awards it has won over the years. The company has consistently been ranked among the top employers of choice, on the basis of its industry leading HR best practices. The company’s senior leaders contribute widely to industry forums as BPM strategists."
37,Intelenet Global S...,3.7,(3k),Private,Mumbai + 50 more,20 years old,10000+ employees,"BPO/KPO, Mumbai","Intelenet® is a large global Business Process Outsourcing player, committed to delivering our client’s strategic goals and helping in enhancing, broadening, and deepening the relationship to add value.  Backed by The Blackstone Group, a leading Global Private Equity player, with a current portfolio of clients that includes Fortune 500 companies, we are a 55,000 people organization spread across 70 global delivery centers across North & Central America, UK, Europe, Asia Pacific and the Middle East; supporting 110+ clients in over 50 languages."
38,ICICI Prudential L...,4.2,(3k),Public,Mumbai + 321 more,19 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Public, Mumbai","ICICI Prudential Life Insurance Company Limited (ICICI Prudential Life) is promoted by ICICI Bank Limited and Prudential Corporation Holdings Limited.

ICICI Prudential Life began its operations in fiscal year 2001 and has consistently been amongst the top players* in the Indian life insurance sector. Our Assets Under Management (AUM) as on 31st March 2019 were `1,604.10 billion. 

At ICICI Prudential Life, we operate on the core philosophy of customer centricity. We offer long term savings and protection products to meet different life stage requirements of our customers. We have developed and implemented various initiatives to provide cost-effective products, superior quality services, consistent fund performance and a hassle-free claim settlement experience to our customers.

In FY2015 ICICI Prudential Life became the first private life insurer to attain assets under management of `1 trillion. ICICI Prudential Life is also the first insurance company in India to be listed on NSE and BSE."
